epochs,train_losses,test_losses
0,0.18720497095275115,0.14249135015039144
1,0.13973492624997977,0.13681100413600733
2,0.13814607828130815,0.1363014784958468
3,0.1375245020228572,0.1367861539241782
4,0.13709432085116788,0.13637489658976112
5,0.13682225252524086,0.13516748773882975
6,0.13665024087465596,0.1357882474667272
7,0.1364161985282221,0.13802408481049475
8,0.1362470381777484,0.13577447171403592
9,0.13608311380580232,0.137842302088836
10,0.13583839078668308,0.1355072936344899
11,0.13575907926049105,0.1368287560144026
