epochs,train_losses,test_losses
0,0.14545853365704697,0.13726856015142716
1,0.13889506234858298,0.13721797781558337
2,0.13843371407307623,0.1366321155431795
3,0.13810348572123435,0.13589249936671094
4,0.13791987383417015,0.13659209339463177
